RESPONSE TO CYTOKINE
DEFENSE RESPONSE
RESPONSE TO BIOTIC STIMULUS
REGULATION OF IMMUNE SYSTEM PROCESS
IMMUNE EFFECTOR PROCESS
CELL ACTIVATION
CYTOKINE PRODUCTION
REGULATION OF RESPONSE TO EXTERNAL STIMULUS
REGULATION OF RESPONSE TO STRESS
PROTEIN MODIFICATION BY SMALL PROTEIN CONJUGATION OR REMOVAL
