input,output,reaction,name,schemaClass,module
R-HSA-1168370,R-HSA-2089954,R-HSA-2089927,STIM1 binds TRPC1 forming STIM1:TRPC1 complex,Reaction,Immune System
LAT,R-HSA-2424468,R-HSA-2396599,Recruitment of GRB2:SOS to p-5Y-LAT,Reaction,Immune System
R-HSA-2685672,R-HSA-2424468,R-HSA-2396599,Recruitment of GRB2:SOS to p-5Y-LAT,Reaction,Immune System
R-HSA-109797,R-HSA-2685672,R-HSA-2730844,Interaction of GRB2:SOS complex with p-SHC1,Reaction,Immune System
SHC1,R-HSA-2685672,R-HSA-2730844,Interaction of GRB2:SOS complex with p-SHC1,Reaction,Immune System
R-ALL-113592,SHC1,R-HSA-2730886,Phosphorylation of SHC by SYK kinase,Reaction,Immune System
SHC1,R-ALL-29370,R-HSA-2730886,Phosphorylation of SHC by SYK kinase,Reaction,Immune System
SHC1,SHC1,R-HSA-2730886,Phosphorylation of SHC by SYK kinase,Reaction,Immune System
R-HSA-210250,R-ALL-29370,R-HSA-2395412,Phosphorylation of SYK,Reaction,Immune System
R-HSA-210250,R-HSA-2395411,R-HSA-2395412,Phosphorylation of SYK,Reaction,Immune System
R-ALL-113592,R-HSA-2395411,R-HSA-2395412,Phosphorylation of SYK,Reaction,Immune System
SYK,R-HSA-210250,R-HSA-210289,Recruitment of SYK to p-DAP12,Reaction,Immune System
R-HSA-2395423,R-HSA-210250,R-HSA-210289,Recruitment of SYK to p-DAP12,Reaction,Immune System
LCK,R-HSA-2395423,R-HSA-2395439,Phosphorylation of DAP12,Reaction,Immune System
LCK,R-ALL-29370,R-HSA-2395439,Phosphorylation of DAP12,Reaction,Immune System
FYN,R-HSA-2395423,R-HSA-2395439,Phosphorylation of DAP12,Reaction,Immune System
FYN,R-ALL-29370,R-HSA-2395439,Phosphorylation of DAP12,Reaction,Immune System
R-ALL-113592,R-HSA-2395423,R-HSA-2395439,Phosphorylation of DAP12,Reaction,Immune System
R-HSA-2395430,R-HSA-2395423,R-HSA-2395439,Phosphorylation of DAP12,Reaction,Immune System
R-HSA-2395430,R-ALL-29370,R-HSA-2395439,Phosphorylation of DAP12,Reaction,Immune System
R-HSA-210233,R-HSA-210232,R-HSA-210295,Interaction of DAP12 and NKG2D,Reaction,Immune System
R-HSA-548940,R-HSA-210232,R-HSA-210295,Interaction of DAP12 and NKG2D,Reaction,Immune System
TYROBP,R-HSA-548940,R-HSA-2130151,Dimerization of DAP12,Reaction,Immune System
R-HSA-548940,R-HSA-2326822,R-HSA-2172126,DAP12 interacts with NKG2C,Reaction,Immune System
R-HSA-2326867,R-HSA-2326822,R-HSA-2172126,DAP12 interacts with NKG2C,Reaction,Immune System
R-HSA-548940,R-HSA-210245,R-HSA-210300,Interaction of DAP12 and TREM2,Reaction,Immune System
TREM2,R-HSA-210245,R-HSA-210300,Interaction of DAP12 and TREM2,Reaction,Immune System
R-ALL-113592,R-HSA-1168369,R-HSA-1168374,RasGRP1 and RasGRP3 binds diacylglycerol and is phosphorylated,BlackBoxEvent,Immune System
RASGRP3,R-ALL-29370,R-HSA-1168374,RasGRP1 and RasGRP3 binds diacylglycerol and is phosphorylated,BlackBoxEvent,Immune System
RASGRP3,R-HSA-1168369,R-HSA-1168374,RasGRP1 and RasGRP3 binds diacylglycerol and is phosphorylated,BlackBoxEvent,Immune System
RASGRP1,R-ALL-29370,R-HSA-1168374,RasGRP1 and RasGRP3 binds diacylglycerol and is phosphorylated,BlackBoxEvent,Immune System
RASGRP1,R-HSA-1168369,R-HSA-1168374,RasGRP1 and RasGRP3 binds diacylglycerol and is phosphorylated,BlackBoxEvent,Immune System
R-ALL-114519,R-ALL-29370,R-HSA-1168374,RasGRP1 and RasGRP3 binds diacylglycerol and is phosphorylated,BlackBoxEvent,Immune System
R-ALL-114519,R-HSA-1168369,R-HSA-1168374,RasGRP1 and RasGRP3 binds diacylglycerol and is phosphorylated,BlackBoxEvent,Immune System
R-HSA-453099,R-HSA-921157,R-HSA-453111,Phosphorylated SHC recruits GRB2:SOS1,Reaction,Immune System
R-HSA-913366,R-HSA-921157,R-HSA-453111,Phosphorylated SHC recruits GRB2:SOS1,Reaction,Immune System
R-HSA-913428,R-HSA-921157,R-HSA-453111,Phosphorylated SHC recruits GRB2:SOS1,Reaction,Immune System
