input,output,reaction,name,schemaClass,module
R-ALL-179856,R-HSA-202269,R-HSA-202354,Translocation of PLC-gamma1 to PIP2,Reaction,Immune System
R-HSA-202279,R-ALL-29370,R-HSA-202248,Phosphorylation of PLC-gamma1,Reaction,Immune System
R-HSA-202279,R-HSA-202302,R-HSA-202248,Phosphorylation of PLC-gamma1,Reaction,Immune System
R-HSA-202279,R-HSA-202310,R-HSA-202248,Phosphorylation of PLC-gamma1,Reaction,Immune System
R-HSA-202240,R-ALL-29370,R-HSA-202248,Phosphorylation of PLC-gamma1,Reaction,Immune System
R-HSA-202240,R-HSA-202302,R-HSA-202248,Phosphorylation of PLC-gamma1,Reaction,Immune System
R-HSA-202240,R-HSA-202310,R-HSA-202248,Phosphorylation of PLC-gamma1,Reaction,Immune System
R-ALL-113592,R-HSA-202302,R-HSA-202248,Phosphorylation of PLC-gamma1,Reaction,Immune System
R-ALL-113592,R-HSA-202310,R-HSA-202248,Phosphorylation of PLC-gamma1,Reaction,Immune System
CD101,R-ALL-29370,R-HSA-8866027,Negative regulation by 'CD101 [plasma membrane]',NegativeRegulation,Immune System
CD101,R-HSA-202302,R-HSA-8866027,Negative regulation by 'CD101 [plasma membrane]',NegativeRegulation,Immune System
CD101,R-HSA-202310,R-HSA-8866027,Negative regulation by 'CD101 [plasma membrane]',NegativeRegulation,Immune System
ITK,R-HSA-202359,R-HSA-202375,Recruitment of ITK to SLP-76,Reaction,Immune System
R-HSA-202162,R-HSA-202359,R-HSA-202375,Recruitment of ITK to SLP-76,Reaction,Immune System
R-ALL-113592,R-HSA-202162,R-HSA-202216,Phosphorylation of SLP-76,Reaction,Immune System
R-HSA-202151,R-ALL-29370,R-HSA-202216,Phosphorylation of SLP-76,Reaction,Immune System
R-HSA-202151,R-HSA-202162,R-HSA-202216,Phosphorylation of SLP-76,Reaction,Immune System
R-HSA-202177,R-HSA-202151,R-HSA-202241,Recruitment of SLP-76 to Gads,Reaction,Immune System
LCP2,R-HSA-202151,R-HSA-202241,Recruitment of SLP-76 to Gads,Reaction,Immune System
LAT,R-HSA-202177,R-HSA-202325,Recruitment of Gads to LAT,Reaction,Immune System
GRAP2,R-HSA-202177,R-HSA-202325,Recruitment of Gads to LAT,Reaction,Immune System
R-ALL-113592,LAT,R-HSA-202245,Phosphorylation of TBSMs in LAT,Reaction,Immune System
LAT,LAT,R-HSA-202245,Phosphorylation of TBSMs in LAT,Reaction,Immune System
LAT,R-ALL-29370,R-HSA-202245,Phosphorylation of TBSMs in LAT,Reaction,Immune System
R-HSA-202345,R-ALL-29370,R-HSA-202174,Activation of ZAP-70,Reaction,Immune System
R-HSA-202345,R-HSA-202181,R-HSA-202174,Activation of ZAP-70,Reaction,Immune System
R-ALL-113592,R-HSA-202181,R-HSA-202174,Activation of ZAP-70,Reaction,Immune System
R-ALL-113592,R-HSA-202345,R-HSA-202168,Phosphorylation of ZAP-70 by Lck,Reaction,Immune System
R-HSA-202330,R-ALL-29370,R-HSA-202168,Phosphorylation of ZAP-70 by Lck,Reaction,Immune System
R-HSA-202330,R-HSA-202345,R-HSA-202168,Phosphorylation of ZAP-70 by Lck,Reaction,Immune System
ZAP70,R-HSA-202330,R-HSA-202344,Recruitment of ZAP-70 to phosphorylated ITAMs,Reaction,Immune System
R-HSA-203494,R-HSA-202330,R-HSA-202344,Recruitment of ZAP-70 to phosphorylated ITAMs,Reaction,Immune System
R-HSA-202266,R-ALL-29370,R-HSA-202165,Phosphorylation of ITAM motifs in CD3 complexes,Reaction,Immune System
R-HSA-202266,R-HSA-203494,R-HSA-202165,Phosphorylation of ITAM motifs in CD3 complexes,Reaction,Immune System
R-ALL-113592,R-HSA-203494,R-HSA-202165,Phosphorylation of ITAM motifs in CD3 complexes,Reaction,Immune System
R-HSA-202157,R-ALL-29370,R-HSA-202291,Activation of Lck,Reaction,Immune System
R-HSA-202157,R-HSA-202266,R-HSA-202291,Activation of Lck,Reaction,Immune System
R-ALL-113592,R-HSA-202266,R-HSA-202291,Activation of Lck,Reaction,Immune System
