Protein,Drop,Gain
PPM1B,-11.34598871826534,0.04466237460371624
C4B,-11.345560465613724,0.5288607664536897
C4A,-11.345560465613724,0.5288607664536897
UBE2Z,-11.333409353809223,0.00039435579155896837
PELI2,-11.230682448277511,0.5061323932743641
TAPBP,-11.069033416187805,2.3796376847449743
CALR,-11.069033416187805,2.379637684744974
UBAC1,-10.996737372773717,0.0012036211623300207
SOCS1,-10.929318663561567,1.9784522218839773
LCP2,-10.859848986213832,0.9725803528960056
MAPK12,-10.697337484352103,0.15301568019074532
RNF126,-10.674964503255683,0.0004451343704064882
RNF115,-10.67496450325567,0.00044513437040624644
UBE2F,-10.597213174858839,0.0003681017856665097
STX4,-10.445041155776446,0.9108470419973902
LCN2,-10.191342815899972,3.4650182386838733
RBCK1,-10.110141079693552,0.023390871647734294
UBE2C,-10.034016694918396,0.00035089395145081735
UBE2H,-10.034016694918392,0.0003508939514507385
UBE2V2,-10.034016694918392,0.00035089395145081735
UBE2S,-10.034016694918392,0.0003508939514507385
UBE2J2,-10.034016694918392,0.0003508939514507385
UBE2B,-10.034016694918392,0.0003508939514507385
UBE2Q2,-10.034016694918392,0.0003508939514507385
UBE2O,-10.034016694918389,0.0003508939514507385
UBE2G1,-10.034016694918389,0.0003508939514507385
UBE2Q1,-10.034016694918389,0.0003508939514507385
UBE2W,-10.034016694918389,0.0003508939514507385
ATP6V0C,-10.031897677842373,3.784485574279
PELI3,-9.995578688057936,0.4449051296911667
EDARADD,-9.933089096868658,0.34800982073024506
IFIH1,-9.781973530409857,0.0009638127431528743
CCL4,-9.78124674057781,0.5603073271431943
DZIP3,-9.717930834120954,0.014306746739127239
NCK1,-9.620060688023866,1.067749669829341
GAB2,-9.515406473098377,0.608422831633651
DNM2,-9.476607398023605,0.12142481815277206
VAV3,-9.419515764556511,0.03692799768131247
CCL2,-9.336698360354726,0.5565527512529568
PSMB1,-9.33138530023612,3.8458344324386506
MYD88,-9.287200428130461,12.523505826774128
MAPK11,-9.173392620884183,0.1081517429792598
MAPK14,-9.173392620884183,0.10815174297925954
MAPK13,-9.173392620884183,0.10815174297925967
RNF19B,-9.099657556810698,0.0016665381555940949
OLFM4,-9.058874654002267,1.7029035228320124
IL18,-8.999503874681956,2.3360527429598683
TXK,-8.974907496728772,1.0269086171475843
NEDD4,-8.95678747359205,0.1789480226886376
CFH,-8.92804237235835,2.645931769918836
CSF2 gene,-8.919954028988023,0.8313855248243768
IL8,-8.919954028988023,0.8313855248243764
VAV1,-8.807959044611643,0.728219367049542
AP1M1,-8.771016554838457,0.6557915004576337
MKRN1,-8.694954834352416,0.00032372472647603786
IL1A,-8.634393838719916,0.8346415886050305
BTBD1,-8.609757856797767,0.00030718642194645085
ITCH,-8.52937456497699,4.481218254477252
RNF111,-8.51525149577052,0.000144977704284592
C6,-8.473729423048281,0.2250235248651653
WIPF1,-8.46920088321387,0.28629185816091135
TMEM179B,-8.464060783627477,0.08706178232062532
MAP3K14,-8.442844980442434,0.0001283884811578084
FADD,-8.391893881110345,0.12495794330627635
IKBKE,-8.36132154370889,0.00017686486384892598
TOLLIP,-8.315435147160555,2.125697409355512
IL37,-8.310421919164812,5.222517730040703
CR1,-8.305133847224761,0.45812642603998643
IL4R,-8.302824638154915,0.26461837300829305
BCL6,-8.26630393371485,1.6267857342074552
IRAK1,-8.253824961504044,0.9240810735888251
UBE3A,-8.24950871619924,0.0014224636125064495
SMURF2,-8.21609900353407,0.04068766572124097
WWP1,-8.216099003534069,0.04068766572124081
FOS,-8.204553081132536,3.7150657390775534
TRIM56,-8.15261375565037,0.08296752235467078
OSM,-8.148954137347594,1.4239868270186897
STING1,-8.130599087083988,1.3831858071460863
SEC24C,-8.045635953384426,0.02451850373937171
IL1B,-8.04409320224414,1.4338964730058656
CBLL2,-8.019047582265554,0.00021856238845659393
SEC24D,-8.00861596588413,0.020299020186584728
RNF182,-7.906529909387069,0.0003563764732599125
GRAP2,-7.899361384619025,0.508567600588023
TRIM41,-7.845941836820318,0.0002653410275355857
PIK3R3,-7.839917116962452,0.1300695243770448
CCL22,-7.831195098722816,5.563915341838167
MAPK8,-7.788910381800188,0.03007238044240498
UNKL,-7.785195644182952,0.011632946157310062
CCND1,-7.766313463567175,1.5864684568147873
ZNRF1,-7.765465143423725,0.000302358601106523
ATF2,-7.740984829258462,0.7303864317443718
FBXO17,-7.726640722670671,0.00033748313362782356
CCL19,-7.68452495027835,0.5362378394818577
CXCL2,-7.684524950278346,0.5362378394818571
CCL3L1,-7.684524950278346,0.5362378394818571
CCL20,-7.6845249502783455,0.5362378394818569
CXCL1,-7.684524950278344,0.5362378394818568
CCL5,-7.684524950278344,0.5362378394818567
CXCL10,-7.684524950278344,0.5362378394818571
CSF3,-7.684524950278344,0.5362378394818567
CCL3,-7.684524950278344,0.5362378394818567
MAP2K4,-7.670933715983616,0.0980224507651441
SEC31A,-7.647637287926129,0.2961338132540843
SEC13,-7.647637287926129,0.29613381325408406
PAK3,-7.589241010435035,0.6582331356113966
CD68,-7.544317644082371,0.011046861815356824
CD47,-7.530619908267827,0.0015545838866060106
CDKN1B,-7.5096309286547696,9.471452022794665e-05
HGF,-7.509288064622324,1.83518894055104
MAVS,-7.507145647526027,1.15405398352268e-05
NLRP4,-7.484839117963719,0.07604487630667364
DTX4,-7.484839117963715,0.07604487630667356
ATOX1,-7.463582905612634,0.03260485079433345
BCL10,-7.448712810697089,2.1422009241328857
SAA1,-7.4358553802715885,2.183373957566292
PRKCD,-7.433412934590979,0.44199403928925446
IL1RN,-7.426624093486675,0.17845499788916777
CD74,-7.420961178882446,4.173994775534707
MAPK10,-7.389151953255147,0.012352826895345248
BTK,-7.357401892264529,0.057866859385782225
CSF2RB,-7.299427830195661,1.5012212782467365
CTSA,-7.298497567256906,0.21735970256851514
FCER1G,-7.229401628885844,2.7343304013689793
ARIH2,-7.21346861656291,0.0002811359856365968
RAP1GAP2,-7.1111000586594315,0.49692299965808095
SOCS2,-7.093245604178248,0.5176839644147565
MAP3K1,-7.093217118222651,0.13078346497856747
CCR2,-7.090935821098356,0.7905827665935065
TGFB1,-7.08975975274137,1.9707678070712449
IL13,-7.0287919113532755,2.399436685801383
LBP,-7.022716061575108,6.174247786916002
SOX2,-7.007234101605953,1.4868773089043579
RNF14,-6.989280277677268,0.0003088903402442129
APP,-6.914059794397876,0.6373024514172283
FPR1,-6.9081866492356,0.08731510105907044
CCR1,-6.9081866492356,0.08731510105907038
CCR5,-6.9081866492356,0.08731510105907038
TIMP1,-6.893413492795651,1.573363068262295
FOXO3,-6.798061493211114,2.3536931456864294
IL23A,-6.777623041981839,1.6871913241451595
HNRNPF,-6.776898026093414,0.00018343862982206612
CALM1,-6.7311295990883036,0.21034863219474098
RNF25,-6.728280157899688,0.0003119651579365816
CD86,-6.722925805773144,1.8337219241451823
TXLNA,-6.559893342506086,0.4565306815871613
MYLIP,-6.559442085172218,0.0002748469731572153
CARD11,-6.541711629334138,1.2416227409962775
SEC24A,-6.498798025550059,0.006503158861148251
SEC24B,-6.498798025550058,0.006503158861148251
LAT2,-6.482098384319185,0.08963999604236998
SIGLEC12,-6.427807753523455,4.162793291791943
FGF2,-6.420900772135091,1.2876488098569177
MMP9,-6.4209007721350595,1.2876488098569199
MMP3,-6.420900772135059,1.2876488098569185
MMP1,-6.420900772135055,1.2876488098569179
POMC,-6.420900772135055,1.2876488098569183
MMP2,-6.420900772135055,1.2876488098569183
IL17A,-6.420900772135055,1.2876488098569183
VEGFA,-6.420900772135052,1.2876488098569172
IL17F,-6.42090077213496,1.2876488098569168
MAP2K7,-6.406044764359322,0.024012938989577837
MAP2K1,-6.406044764359314,0.024012938989577817
CBL,-6.344608975696655,2.919750634326821
RNF114,-6.325913163696316,0.0002847320235777536
LRSAM1,-6.3259131636963,0.0002847320235777536
TRIM9,-6.314492940808309,0.9476059465375071
MAP2K3,-6.270733458699464,0.047485300265252606
MAP2K6,-6.270733458699463,0.047485300265252606
IRS1,-6.267411822186101,0.15147086512812308
IRS2,-6.267411822186101,0.15147086512812308
TRIM4,-6.2334339726807935,0.0001927746836333416
IL1R1,-6.21680760622263,3.721513129952752
PRKCE,-6.167948080277306,0.01301859285952341
STX3,-6.1563565522001396,0.2409274558569101
IL27,-6.133980757912546,2.5825042980245216
TRIM37,-6.132548143531932,0.9971508823713804
RNF6,-6.1325479756380705,0.04240957569594095
LIMK1,-6.1277209215433945,0.07289021057227367
RNF144B,-6.121414892827162,0.011274221564207099
IL1R2,-6.120444187638731,0.8254163289551936
IL16,-6.1066271846316145,0.8310505008100544
SIKE1,-6.083363719323718,0.04383680674382815
OSTF1,-6.043759831605036,0.0003504935002546507
CSF2,-6.006215718948631,1.5219017088612599
MAP3K8,-5.984494646361992,0.034817339480536155
ITGB2,-5.959529869318094,0.002132180113446694
ITGAX,-5.959529869318092,0.002132180113446694
RNF138,-5.944299988675331,0.0002853690577989842
UBOX5,-5.923216568840369,0.03173856456482715
CEBPD,-5.906379521453932,1.36220853003734
TWIST1,-5.906379521453932,1.3622085300373403
RORA,-5.90637952145393,1.3622085300373385
BATF,-5.90637952145393,1.3622085300373403
NANOG,-5.90637952145393,1.3622085300373403
HIF1A,-5.90637952145393,1.3622085300373408
JUNB,-5.90637952145393,1.3622085300373437
POU2F1,-5.9063795214539265,1.362208530037341
BIRC5,-5.9063795214539265,1.362208530037341
PIM1,-5.9063795214539265,1.3622085300373408
MYC,-5.9063795214539265,1.3622085300373439
FOXO1,-5.906379521453925,1.3622085300373405
RORC,-5.906379521453925,1.3622085300373405
ZEB1,-5.906379521453925,1.3622085300373405
IL12B,-5.897577027293039,3.8033486052955685
HECTD3,-5.897104805437105,0.16091851099678534
KLRC1,-5.893543725596607,7.21651690821513
CTNNB1,-5.797346504744861,0.21461436998900443
YWHAZ,-5.771344737727059,0.5009886929104688
VAV2,-5.722384858491264,0.01016839076038087
IL7R,-5.67223680763552,0.09927861841206823
VAMP3,-5.627002533367145,0.09958471106947225
BPIFA1,-5.621346422148743,34.52765548081277
PTPN5,-5.602530119495882,1.3048162569838377
HCK,-5.5759861107274284,1.9871421239091744
CASP8,-5.543342365618955,1.9271108016537217
IL1RL1,-5.463832338070547,0.5776391935946554
CSF1,-5.357353628870135,11.119614809115983
CD80,-5.357352794546166,0.4858286273972649
MAPK1,-5.301358502623966,0.12655589980445092
SRC,-5.285110574915751,0.00039548444724811776
VCP,-5.270585601483813,0.016959785077176336
RNF125,-5.226484229444226,0.00015490949542139835
PPL,-5.174621736250786,9.7602378590323
GH1,-5.131208477340213,2.1694085389602593
GH2,-5.131208477340213,2.1694085389602593
CD209,-5.124120149694329,5.703650593734343
CISH,-5.053418758282954,0.21887642471287486
MS4A3,-5.025233360405104,0.001015854819385632
JAK3,-4.9990495791651615,6.242063688519092
IKBKG,-4.993924353661258,0.07341405787790788
IL3,-4.922661720973325,1.1522560097906074
IL3RA,-4.922661720973325,1.1522560097906074
IL5RA,-4.922661281508588,1.5535381629817504
PIN1,-4.8668956784027255,3.1123043108281188
OPRD1,-4.849540667911294,0.00869862845057558
SH2B1,-4.818580510954292,0.44753821849437536
WAS,-4.814888957510741,0.2828443552323835
DYNLT1,-4.793959963893038,0.13403238508487386
ZNRF2,-4.7605315524394305,0.00024290038755809865
SIAH2,-4.760531552439427,0.00024290038755809892
TRIM36,-4.760531552439427,0.00024290038755809892
CUL1,-4.760531552439426,0.00024290038755809892
DTX3L,-4.760531552439426,0.00024290038755809892
RNF19A,-4.760531552439426,0.00024290038755809892
RNF217,-4.760531552439426,0.00024290038755809892
RNF213,-4.760531552439426,0.00024290038755809892
SPSB1,-4.760531552439426,0.00024290038755809892
RLIM,-4.760531552439426,0.00024290038755809892
UBR4,-4.760531552439426,0.00024290038755809892
HECTD2,-4.760531552439426,0.00024290038755809892
FBXL4,-4.760531552439426,0.00024290038755809892
WSB1,-4.760531552439426,0.00024290038755809892
HUWE1,-4.760531552439426,0.00024290038755809892
UBR2,-4.760531552439426,0.00024290038755809892
HERC6,-4.760531552439426,0.00024290038755809892
MIB2,-4.760531552439426,0.00024290038755809892
TRIP12,-4.760531552439426,0.00024290038755809892
UBE4A,-4.760531552439425,0.00024290038755809865
PARK2,-4.760531552439425,0.00024290038755817871
HERC2,-4.760531552439425,0.00024290038755817871
SMURF1,-4.760531552439425,0.00024290038755817871
STUB1,-4.760531552439425,0.00024290038755817871
MGRN1,-4.760531552439425,0.00024290038755817871
RNF123,-4.760531552439425,0.00024290038755817871
RNF220,-4.760531552439425,0.00024290038755817871
VPRBP,-4.760531552439425,0.00024290038755817871
TRIM69,-4.760531552439425,0.00024290038755817871
RBBP6,-4.760531552439425,0.00024290038755817871
NEDD4L,-4.760531552439425,0.00024290038755817871
PJA1,-4.760531552439425,0.00024290038755817871
RNF34,-4.760531552439425,0.00024290038755817871
PJA2,-4.760531552439425,0.00024290038755817871
UFL1,-4.760531552439424,0.00024290038755817871
TRIM71,-4.760531552439424,0.00024290038755817871
TRAF7,-4.760531552439424,0.00024290038755817871
LTN1,-4.760531552439423,0.00024290038755809892
DET1,-4.7605315524394225,0.00024290038755817871
FBXO44,-4.7605315524394225,0.00024290038755817871
UBE3C,-4.760531552439422,0.00024290038755817871
LRRC41,-4.760531552439422,0.00024290038755817871
RCHY1,-4.760531552439422,0.00024290038755817871
GAN,-4.760531552439422,0.00024290038755817871
SPSB2,-4.76053155243942,0.00024290038755817871
RNF130,-4.76053155243942,0.00024290038755817871
HERC1,-4.76053155243942,0.0002429003875580201
HACE1,-4.76053155243942,0.0002429003875580201
MEX3C,-4.76053155243942,0.0002429003875580201
HERC3,-4.76053155243942,0.0002429003875580201
AREL1,-4.76053155243942,0.0002429003875580201
HECW2,-4.76053155243942,0.0002429003875580201
KLHL11,-4.76053155243942,0.0002429003875580201
HERC4,-4.76053155243942,0.00024290038755817871
TRAIP,-4.76053155243942,0.0002429003875580201
LRR1,-4.760531552439419,0.00024290038755809892
UBE3B,-4.760531552439419,0.00024290038755809892
FBXO27,-4.760531552439419,0.00024290038755809892
UBR1,-4.760531552439419,0.00024290038755809892
UBE3D,-4.760531552439419,0.00024290038755809892
TRIM63,-4.760531552439419,0.00024290038755809892
TRIM11,-4.760531552439419,0.00024290038755809892
SPSB4,-4.760531552439419,0.00024290038755809892
SNAP23,-4.7491655206876295,0.03901047357584262
SNAP29,-4.747866039555236,0.016549101843663247
IL2RG,-4.652486795723978,0.555621971653875
EVL,-4.587249638714946,0.687134840485097
TNFSF14,-4.583270877087537,5.696254959689137
C7,-4.57158397729484,0.20643219400828172
IL13RA1,-4.472737824020169,0.24952371787626265
IL6ST,-4.456970674459571,0.4015254453708285
PTPN9,-4.444135747113617,1.944118389395109
PTPN18,-4.444135591508159,1.0281792525278048
PTPN2,-4.444135591508158,1.0281792525278048
PTPN23,-4.4441355915081555,1.0281792525278053
PTPN7,-4.4441355915081555,1.028179252527805
PTPN13,-4.4441355915081555,1.028179252527805
PTPN14,-4.4441355915081555,1.028179252527805
PTPN20,-4.4441355915081555,1.028179252527805
PTPN12,-4.444135591508154,1.0281792525278037
NFKBIA,-4.328130447569329,1.1075285940629391
CLEC4G,-4.31298298028046,1.228283653708424
PTPN4,-4.288322499377487,1.484103713035233
CSK,-4.283274264895566,4.141416014545076
PDCD1LG2,-4.260143817972461,0.3231910566347555
EDA,-4.2099614609130365,0.795790388694878
ICAM3,-4.16572853424035,3.1973837288818663
FASLG,-4.155870661688177,0.008248953831717316
TKFC,-4.1472238772869074,0.6786025038577275
STAT4,-4.120448103736165,27.76754985594817
DEFB127,-4.116579124899778,49.43501352484234
IL9,-4.107247330239622,0.1833915566418869
WIPF2,-4.095965957411829,0.0007005292673779554
IL4,-4.093853661273798,0.1071044223809374
PTPN6,-4.091327412750821,2.2499428547853264
DNM1,-4.081537602484825,0.046675861048489385
DNM3,-4.081537602484825,0.04667586104848941
PSME2,-4.032625119814841,7.794422954721854e-05
GCA,-4.015684995726629,2.410442243883512
CDA,-4.0036814918657155,7.741763470465581e-05
IFNA4,-3.9986881366858804,10.996460544164123
IL5,-3.9854380929276396,1.1334474170111362
HNRNPA2B1,-3.9699000015818875,0.00035222026263102986
DEFB103A,-3.9638085669609806,48.246314722743996
IFNB1,-3.9624280777790366,10.959604966804918
NCKIPSD,-3.9583807549549745,0.24322094834656538
SPTBN2,-3.957319879467155,0.2147612592930989
ACTR1A,-3.957319879467155,0.2147612592930989
ACTR1B,-3.9573198794671485,0.21476125929309917
C9,-3.9527080356363458,1.8123940906354912
DEFB4A,-3.925186196409026,46.82407671851451
DEFA1,-3.9190438701859733,47.44680888264224
IL18R1,-3.9186265058065035,1.0938919790984905
CREB1,-3.9171602330646813,0.00033463889161835576
DEFA3,-3.9163222894533423,47.17603454619601
IL11RA,-3.8973104509418923,0.6931471220114338
DEFB121,-3.892889204830783,46.93491148893813
DEFA6,-3.8901087274282213,46.311613696668864
DEFA5,-3.8901087274282204,46.31161369666886
DEFA4,-3.8901087274282196,46.311613696668864
DEFB1,-3.8805545630754104,45.66856655079828
DEFB124,-3.8762665382685677,45.596675861553216
DEFB126,-3.8762664576551655,45.38302754252273
DEFB110,-3.8762664576551655,45.38302754252273
DEFB114,-3.8762664576551655,45.38302754252273
DEFB113,-3.8762664576551655,45.38302754252273
DEFB136,-3.8762664576551655,45.38302754252273
DEFB107A,-3.8762664576551655,45.38302754252273
DEFB132,-3.8762664576551655,45.38302754252273
DEFB115,-3.8762664576551655,45.38302754252273
DEFB134,-3.8762664576551655,45.38302754252273
DEFB123,-3.8762664576551655,45.38302754252273
DEFB131,-3.8762664576551655,45.38302754252273
