Bait
SARS-CoV2 Nsp1
SARS-CoV2 Nsp2
SARS-CoV2 Nsp3
SARS-CoV2 Nsp4
SARS-CoV2 Nsp5
SARS-CoV2 Nsp5_C145A
SARS-CoV2 Nsp6
SARS-CoV2 Nsp7
SARS-CoV2 Nsp8
SARS-CoV2 Nsp9
SARS-CoV2 Nsp10
SARS-CoV2 Nsp11
SARS-CoV2 Nsp12
SARS-CoV2 Nsp13
SARS-CoV2 Nsp14
SARS-CoV2 Nsp15
SARS-CoV2 Spike
SARS-CoV2 ORF3a
SARS-CoV2 ORF3b
SARS-CoV2 E
SARS-CoV2 M
SARS-CoV2 ORF6
SARS-CoV2 ORF7a
SARS-CoV2 ORF8
SARS-CoV2 ORF9b
SARS-CoV2 ORF9c
SARS-CoV2 N
SARS-CoV2 ORF10
