time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-30 00:00:00+00:00,34,11,0,0
2026-05-01 00:00:00+00:00,32,9,0,0
2026-05-02 00:00:00+00:00,39,12,0,0
2026-05-03 00:00:00+00:00,21,7,0,0
2026-05-04 00:00:00+00:00,20,6,0,0
2026-05-05 00:00:00+00:00,20,5,0,0
2026-05-06 00:00:00+00:00,15,6,0,0
2026-05-07 00:00:00+00:00,3,3,0,0
2026-05-08 00:00:00+00:00,14,8,0,0
2026-05-09 00:00:00+00:00,36,11,0,0
2026-05-10 00:00:00+00:00,22,9,0,0
2026-05-11 00:00:00+00:00,1,1,0,0
2026-05-12 00:00:00+00:00,34,7,0,0
2026-05-13 00:00:00+00:00,2,2,0,0
