time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-18 00:00:00+00:00,27,7,1,1
2026-06-19 00:00:00+00:00,56,13,0,0
2026-06-20 00:00:00+00:00,58,14,0,0
2026-06-21 00:00:00+00:00,18,4,0,0
2026-06-22 00:00:00+00:00,28,10,0,0
2026-06-23 00:00:00+00:00,44,14,0,0
2026-06-24 00:00:00+00:00,27,13,0,0
2026-06-25 00:00:00+00:00,41,12,0,0
2026-06-26 00:00:00+00:00,27,9,0,0
2026-06-27 00:00:00+00:00,14,5,0,0
2026-06-28 00:00:00+00:00,1,1,0,0
2026-06-29 00:00:00+00:00,7,2,0,0
2026-06-30 00:00:00+00:00,3,3,0,0
2026-07-01 00:00:00+00:00,14,5,0,0
