time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-13 00:00:00+00:00,18,6,0,0
2026-06-14 00:00:00+00:00,23,5,0,0
2026-06-15 00:00:00+00:00,13,3,0,0
2026-06-16 00:00:00+00:00,8,3,0,0
2026-06-17 00:00:00+00:00,11,5,0,0
2026-06-18 00:00:00+00:00,27,7,1,1
2026-06-19 00:00:00+00:00,56,13,0,0
2026-06-20 00:00:00+00:00,58,14,0,0
2026-06-21 00:00:00+00:00,18,4,0,0
2026-06-22 00:00:00+00:00,28,10,0,0
2026-06-23 00:00:00+00:00,44,14,0,0
2026-06-24 00:00:00+00:00,27,13,0,0
2026-06-25 00:00:00+00:00,41,12,0,0
2026-06-26 00:00:00+00:00,27,9,0,0
