time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-12-05 00:00:00+00:00,40,22,61.0,1.0
2022-12-06 00:00:00+00:00,6,4,31.0,1.0
2022-12-07 00:00:00+00:00,5,4,17.0,2.0
2022-12-08 00:00:00+00:00,2,2,6.0,1.0
2022-12-09 00:00:00+00:00,1,1,41.0,1.0
2022-12-10 00:00:00+00:00,4,4,34.0,1.0
2022-12-11 00:00:00+00:00,3,3,30.0,1.0
2022-12-12 00:00:00+00:00,3,3,18.0,1.0
2022-12-13 00:00:00+00:00,4,4,25.0,1.0
2022-12-14 00:00:00+00:00,2,2,,
2022-12-15 00:00:00+00:00,1,1,11.0,2.0
2022-12-16 00:00:00+00:00,2,2,,
2022-12-17 00:00:00+00:00,4,4,14.0,1.0
2022-12-18 00:00:00+00:00,1,1,,
