time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-22 00:00:00+00:00,2,2,10.0,1.0
2023-02-23 00:00:00+00:00,2,2,6.0,1.0
2023-02-24 00:00:00+00:00,1,1,,
2023-02-25 00:00:00+00:00,2,2,,
2023-02-26 00:00:00+00:00,2,2,9.0,1.0
2023-02-27 00:00:00+00:00,2,2,,
2023-02-28 00:00:00+00:00,11,6,16.0,1.0
2023-03-01 00:00:00+00:00,17,9,,
2023-03-02 00:00:00+00:00,10,6,2.0,1.0
2023-03-03 00:00:00+00:00,3,3,1.0,1.0
2023-03-04 00:00:00+00:00,2,2,,
2023-03-05 00:00:00+00:00,1,1,,
2023-03-06 00:00:00+00:00,3,3,19.0,1.0
2023-03-07 00:00:00+00:00,1,1,,
