url_path,views_total,views_unique
/sarkar-s/CoRe/tree/github-repo-stats/sarkar-s/CoRe/latest-report,5,1
/sarkar-s/CoRe,4,1
/sarkar-s/CoRe/blob/github-repo-stats/sarkar-s/CoRe/latest-report/report_for_pdf.html,4,1
/sarkar-s/CoRe/blob/github-repo-stats/sarkar-s/CoRe/latest-report/report.pdf,4,1
/sarkar-s/CoRe/tree/github-repo-stats/sarkar-s/CoRe,4,1
/sarkar-s/CoRe/blame/github-repo-stats/sarkar-s/CoRe/latest-report/report_for_pdf.html,2,1
/sarkar-s/CoRe/blob/github-repo-stats/sarkar-s/CoRe/latest-report/report.html,2,1
/sarkar-s/CoRe/tree/github-repo-stats,2,1
/sarkar-s/CoRe/branches,1,1
/sarkar-s/CoRe/projects,1,1
