time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-09 00:00:00+00:00,19,6,0,0
2026-04-10 00:00:00+00:00,12,7,0,0
2026-04-11 00:00:00+00:00,20,8,0,0
2026-04-12 00:00:00+00:00,13,4,0,0
2026-04-13 00:00:00+00:00,10,5,0,0
2026-04-14 00:00:00+00:00,29,8,0,0
2026-04-15 00:00:00+00:00,6,5,0,0
2026-04-16 00:00:00+00:00,23,6,0,0
2026-04-17 00:00:00+00:00,10,5,0,0
2026-04-18 00:00:00+00:00,16,7,0,0
2026-04-19 00:00:00+00:00,26,10,0,0
2026-04-20 00:00:00+00:00,41,21,0,0
2026-04-21 00:00:00+00:00,83,32,0,0
2026-04-22 00:00:00+00:00,72,23,0,0
